Variable,Value,Min,Max,Assumption,Calibrated Output,Climate Impact Parameter,Discrete Outflow,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Output,Parameter,Policy,Unit
"CH4 Forcing.Initial CH4 in atmosphere[66]",2239.8908696,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[67]",2225.1660151,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[68]",2260.88701476,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[69]",2235.77313486,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[70]",2232.53263784,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[71]",2220.25129518,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[72]",2212.57563602,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[73]",2249.81368984,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[74]",2204.3363043,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[75]",2219.23722073,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[76]",2222.08495041,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[77]",2241.67986609,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[78]",2237.43902193,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[79]",2261.76014778,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[80]",2228.22732259,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[81]",2221.96259244,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[82]",2260.53954046,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[83]",2246.13848381,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[84]",2236.83268869,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[85]",2248.36503886,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[86]",2203.53619593,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[87]",2240.7165469,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[88]",2248.60572068,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[89]",2219.94003823,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[90]",2245.80016815,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[91]",2220.75379631,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[92]",2259.91448882,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[93]",2234.73104685,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[94]",2223.32153058,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[95]",2211.34316316,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[96]",2226.19365585,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[97]",2221.49536926,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[98]",2210.43153937,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[99]",2243.20629477,,,,,,,,1,,1,,,,
"CH4 Forcing.Initial CH4 in atmosphere[100]",2212.03198353,,,,,,,,1,,1,,,,
"CH4 Forcing.Molecular Weight of CH4",16.043,,,,,,,,,,1,,,,
"CH4 Forcing.Sensitivity of CH4 lifetime to CH4 concentrations",0.000254099,,,,,,,,,,1,,,,
"CH4 Forcing.Sensitivity of CH4 lifetime to Equivalent effective stratospheric chlorine concentrations",-0.00000532738,,,,,,,,,,1,,,,
"CH4 Forcing.Sensitivity of CH4 lifetime to N2O concentrations",-0.000722665,,,,,,,,,,1,,,,
"CH4 Forcing.Sensitivity of CH4 lifetime to NOx emissions",-0.002511067,,,,,,,,,,1,,,,
"CH4 Forcing.Sensitivity of CH4 lifetime to temperature",-0.0408,,,,,,,,,,1,,,,
"CH4 Forcing.Sensitivity of CH4 lifetime to VOC emissions",0.001619264,,,,,,,,,,1,,,,
"CH4 Forcing.UNIT GtCH4 to kg",1000000000000,,,,,,,,,,,,,,1
"CH4 Forcing.UNIT MtCH4 to GtCH4",0.001,,,,,,,,,,,,,,1
"CO2 Forcing.Atmospheric CO2 Concentration 1750",284.29727,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[1]",1.0094549359685,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[2]",0.925227120008196,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[3]",0.973580805906481,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[4]",1.07546383789979,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[5]",1.01997282200052,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[6]",1.03731025251825,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[7]",1.06849522040743,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[8]",0.95218159141875,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[9]",1.0967626835089,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[10]",1.10005894264858,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[11]",1.12578878997484,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[12]",0.963573099581504,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[13]",0.98072453502814,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[14]",1.03081934877606,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[15]",1.00807853242388,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[16]",1.15048267837696,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[17]",1.08119234497856,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[18]",1.01092980533153,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[19]",0.985070236848938,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[20]",1.02799025336309,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[21]",1.04982051921265,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[22]",1.11613281894491,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[23]",1.23617975331542,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[24]",1.10054233544862,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[25]",1.12085763161799,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[26]",1.03039891512777,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[27]",1.10439153974163,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[28]",1.09494004279589,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[29]",1.09487933057746,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[30]",0.974352974576116,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[31]",1.05775349442012,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[32]",1.00035133713485,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[33]",0.969958710210138,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[34]",0.959351395303893,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[35]",0.984031155294523,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[36]",0.964666078326151,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[37]",1.08781148260249,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[38]",1.08290035400199,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[39]",1.06288654765058,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[40]",1.01758861793184,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[41]",0.992655001476266,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[42]",1.07966240821694,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[43]",0.960841006437757,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[44]",1.03990063878081,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[45]",1.08011724425405,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[46]",1.03811523271397,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[47]",1.0108550500444,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[48]",0.905903862469269,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[49]",1.06589206538857,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[50]",1.03720278965109,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[51]",1.08987773231885,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[52]",1.02257652507201,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[53]",1.10252916115615,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[54]",1.02692118648625,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[55]",1.04724004645055,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[56]",0.96025807470849,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[57]",0.943316100512931,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[58]",0.976418028051544,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[59]",1.11711884634864,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[60]",1.20100164159359,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[61]",1.10321902688993,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[62]",1.06959190396633,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[63]",1.00600211779587,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[64]",1.14903036860595,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[65]",1.01766429744173,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[66]",1.02250250493255,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[67]",1.06236590888996,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[68]",1.14792078561286,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[69]",0.964510630528896,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[70]",1.03014356027947,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[71]",1.00904678532276,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[72]",0.997414601451447,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[73]",1.07896950679726,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[74]",1.01212051312386,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[75]",0.977312556082712,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[76]",1.05415508338016,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[77]",1.10019598646591,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[78]",1.05360861522132,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[79]",1.08699225918676,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[80]",1.05135454435592,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[81]",1.19372415579814,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[82]",1.01400942891294,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[83]",1.06733347331116,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[84]",0.874266197205203,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[85]",0.972002123785573,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[86]",1.14818640633483,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[87]",1.00549343147253,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[88]",1.17358274170209,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[89]",1.05555452864896,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[90]",1.08101131330846,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[91]",1.08941912363234,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[92]",1.03811044060778,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[93]",1.03857375194634,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[94]",1.15247645281905,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[95]",1.03813263754033,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[96]",1.08204449863977,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[97]",1.0111451074043,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[98]",0.950488481390397,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[99]",1.03070433495061,,,,,,,,1,,1,,,,
"CO2 Forcing.Calibration scaling of CO2 forcing[100]",1.09381226708461,,,,,,,,1,,1,,,,
"CO2 Forcing.CO2 forcing adjustment due to fast tropospheric feedbacks",0.05,,,,,,,,,,1,,,,
"CO2 Forcing.CO2 forcing logarithmic parameter",4.57,,,,,,,,,,1,,,,
"CO2 Forcing.CO2 forcing square root parameter",0.086,,,,,,,,,,1,,,,
"CO2 Forcing.CO2 forcing square root parameter squared",0.007396,,,,,,,,,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[1]",472669.92843,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[2]",439669.850438,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[3]",461393.623668,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[4]",458100.671136,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[5]",443912.738267,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[6]",491946.637813,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[7]",467974.843922,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[8]",450392.939857,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[9]",462945.712224,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[10]",523150.555152,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[11]",476653.73203,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[12]",491410.979462,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[13]",494467.171482,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[14]",467842.079821,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[15]",471033.614093,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[16]",447490.738684,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[17]",455664.083219,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[18]",443609.819369,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[19]",506612.243505,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[20]",479982.916421,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[21]",473392.846814,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[22]",447040.634921,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[23]",458549.778512,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[24]",503275.720351,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[25]",532156.379301,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[26]",465867.580354,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[27]",457251.874911,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[28]",456670.472113,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[29]",464162.318299,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[30]",455064.058484,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[31]",456842.872923,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[32]",466892.09815,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[33]",446391.811894,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[34]",479774.308698,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[35]",485021.357311,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[36]",469692.974082,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[37]",523503.15741,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[38]",456901.402146,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[39]",465270.724813,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[40]",467023.497221,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[41]",438803.479046,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[42]",460716.742368,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[43]",456215.603561,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[44]",478053.373416,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[45]",453640.593599,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[46]",443481.868515,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[47]",465015.755334,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[48]",450175.902567,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[49]",456416.794309,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[50]",441528.732714,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[51]",512313.353397,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[52]",457348.438946,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[53]",465807.373292,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[54]",484615.08931,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[55]",496162.34817,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[56]",449332.180781,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[57]",482013.37455,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[58]",427747.012005,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[59]",452722.317982,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[60]",460904.235351,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[61]",441291.401289,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[62]",465437.18371,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[63]",453452.102752,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[64]",440977.389089,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[65]",450490.255153,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[66]",489578.615984,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[67]",468315.486469,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[68]",487818.299166,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[69]",436519.073115,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[70]",502600.407751,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[71]",425562.119903,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[72]",471320.912235,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[73]",486165.927273,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[74]",483503.441509,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[75]",495212.934611,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[76]",455934.30973,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[77]",468273.124606,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[78]",455984.740829,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[79]",517164.233081,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[80]",494391.508765,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[81]",471046.637904,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[82]",460874.07116,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[83]",490482.5003,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[84]",449337.435371,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[85]",503835.025463,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[86]",454866.051921,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[87]",482548.846672,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[88]",444835.229081,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[89]",454077.152176,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[90]",471877.275238,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[91]",478429.160714,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[92]",467156.367907,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[93]",487793.519704,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[94]",453919.886047,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[95]",473183.860899,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[96]",469302.232395,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[97]",449230.809668,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[98]",480158.21645,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[99]",460799.997653,,,,,,,,1,,1,,,,
"CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750[100]",459473.640082,,,,,,,,1,,1,,,,
"CO2 Forcing.Molecular Weight of CO2",44.009,,,,,,,,,,1,,,,
"CO2 Forcing.UNIT GtCO2 to kg",1000000000000,,,,,,,,,,,,,,1
"Land Use Forcing.Calibration scaling of Albedo forcing[1]",0.922014398699323,,,,,,,,1,,1,,,,
